Variant number: 117,  Outcomes: White win: 30%,  Draw: 51%,  Black win: 19%,  Move 5 Entropy: 10.6,  Move 10 Entropy: 13.7,  Move 20 Entropy: 21.9
Variant number: 118,  Outcomes: White win: 24%,  Draw: 54%,  Black win: 22%,  Move 5 Entropy: 8.8,  Move 10 Entropy: 8.5,  Move 20 Entropy: 23.9
Variant number: 119,  Outcomes: White win: 23%,  Draw: 58%,  Black win: 19%,  Move 5 Entropy: 9.8,  Move 10 Entropy: 14.6,  Move 20 Entropy: 22.2
Variant number: 120,  Outcomes: White win: 34%,  Draw: 44%,  Black win: 22%,  Move 5 Entropy: 7.6,  Move 10 Entropy: 12.2,  Move 20 Entropy: 17.0
Variant number: 121,  Outcomes: White win: 25%,  Draw: 52%,  Black win: 24%,  Move 5 Entropy: 11.4,  Move 10 Entropy: 18.4,  Move 20 Entropy: 26.2
Variant number: 122,  Outcomes: White win: 29%,  Draw: 51%,  Black win: 20%,  Move 5 Entropy: 9.9,  Move 10 Entropy: 11.6,  Move 20 Entropy: 23.3
Variant number: 123,  Outcomes: White win: 29%,  Draw: 49%,  Black win: 22%,  Move 5 Entropy: 9.2,  Move 10 Entropy: 14.7,  Move 20 Entropy: 22.5
Variant number: 124,  Outcomes: White win: 30%,  Draw: 44%,  Black win: 26%,  Move 5 Entropy: 11.4,  Move 10 Entropy: 12.2,  Move 20 Entropy: 22.6
Variant number: 125,  Outcomes: White win: 29%,  Draw: 49%,  Black win: 23%,  Move 5 Entropy: 8.7,  Move 10 Entropy: 15.1,  Move 20 Entropy: 25.7
Variant number: 126,  Outcomes: White win: 25%,  Draw: 51%,  Black win: 24%,  Move 5 Entropy: 10.0,  Move 10 Entropy: 11.1,  Move 20 Entropy: 21.0
Variant number: 127,  Outcomes: White win: 27%,  Draw: 50%,  Black win: 23%,  Move 5 Entropy: 9.5,  Move 10 Entropy: 12.2,  Move 20 Entropy: 14.6
Variant number: 128,  Outcomes: White win: 34%,  Draw: 44%,  Black win: 22%,  Move 5 Entropy: 7.9,  Move 10 Entropy: 13.8,  Move 20 Entropy: 21.8
Variant number: 129,  Outcomes: White win: 29%,  Draw: 50%,  Black win: 21%,  Move 5 Entropy: 11.1,  Move 10 Entropy: 15.9,  Move 20 Entropy: 20.7
Variant number: 130,  Outcomes: White win: 27%,  Draw: 52%,  Black win: 22%,  Move 5 Entropy: 12.5,  Move 10 Entropy: 17.7,  Move 20 Entropy: 28.1
Variant number: 131,  Outcomes: White win: 21%,  Draw: 57%,  Black win: 22%,  Move 5 Entropy: 10.3,  Move 10 Entropy: 14.7,  Move 20 Entropy: 23.8
Variant number: 132,  Outcomes: White win: 28%,  Draw: 50%,  Black win: 22%,  Move 5 Entropy: 9.1,  Move 10 Entropy: 10.4,  Move 20 Entropy: 23.0
